Stat,2833,7300,spy,600000,510310
Start,2017-03-14,2017-03-14,2017-03-14,2017-03-14,2017-03-14
End,2019-06-21,2019-06-21,2019-06-21,2019-06-21,2019-06-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return,19.13%,-27.22%,29.49%,-25.65%,16.14%
Mean (ann.),9.86%,-13.72%,13.35%,-11.39%,9.08%
Vol (ann.),17.09%,17.52%,13.76%,23.50%,19.51%
Sharpe Ratio,0.58,-0.78,0.97,-0.48,0.47
Max Drawdown,-24.81%,-31.35%,-19.35%,-43.16%,-30.90%
